disposition,period,duration,depth,planet_radius,equilibrium_temp,insolation_flux,model_snr,stellar_temp,stellar_logg,stellar_radius
2,13.57078281,3.3539,511.7,2.64,785.0,89.61,88.4,5854.0,4.406,1.012
2,7.12594387,3.0014,192.4,1.79,997.0,233.31,47.1,5779.0,4.339,1.087
0,7.442652004,2.3078,24446.0,15.03,967.0,206.78,835.6,6108.0,4.469,0.956
2,16.38489988,3.0249,1127.1,2.0,433.0,8.35,28.9,4126.0,4.661,0.615
2,7.8774163,2.0805,1306.1,2.16,553.0,22.18,38.7,4126.0,4.661,0.615
2,36.4454001,4.007,1122.3,1.99,332.0,2.88,21.7,4126.0,4.661,0.615
2,3.728732147,2.683,5226.5,6.02,1023.0,258.34,345.2,5497.0,4.577,0.809
1,40.4195037,3.362,6256.0,7.51,467.0,11.29,36.9,5446.0,4.507,0.781
2,2.243380573,1.1196,821.7,1.99,822.0,107.6,38.9,4149.0,4.698,0.564
0,10.405998015,6.5036,14489.0,11.23,833.0,113.94,745.2,5746.0,4.393,0.924
2,2.337437946,1.9982,971.2,2.34,1070.0,311.16,82.4,5005.0,4.595,0.765
1,7.2406612,0.558,556.4,19.45,734.0,68.63,13.7,5005.0,4.595,0.765
1,3.43591631,3.133,23.2,0.55,1272.0,617.61,8.7,5779.0,4.339,1.087
2,11.59822233,2.5237,2804.5,2.65,396.0,5.82,71.0,3688.0,4.79,0.473
2,6.575315881,4.3084,2793.3,5.31,1015.0,251.38,221.1,5992.0,4.415,0.989
2,7.275040844,7.5377,3001.0,4.86,833.0,113.64,312.1,5485.0,4.556,0.867
2,19.27153892,2.7594,1219.8,1.93,393.0,5.66,37.1,4077.0,4.702,0.56
2,10.06524317,1.369,1053.3,1.91,488.0,13.43,30.3,4077.0,4.702,0.56
2,12.3935651,3.8896,916.6,2.66,677.0,49.68,35.8,5557.0,4.603,0.75
2,43.84439721,6.802,615.2,2.87,531.0,18.77,83.7,5854.0,4.406,1.012
0,3.341913228,3.813,725.3,21.55,1032.0,268.67,39.0,5295.0,4.551,0.811
0,1.626630225,2.1145,1620.6,32.43,1547.0,1355.88,103.6,5735.0,4.41,0.973
2,2.711504086,3.0099,837.5,3.12,1420.0,960.79,64.5,6214.0,4.442,1.076
2,7.21203748,4.0491,950.4,3.32,1025.0,260.58,51.5,6214.0,4.442,1.076
0,14.1798187,2.505,459.9,1.88,711.0,60.35,11.2,5799.0,4.539,0.878
2,8.47237911,2.7245,1123.5,2.59,751.0,75.44,47.6,5354.0,4.587,0.788
2,60.4189369,5.039,931.3,2.36,390.0,5.49,20.1,5354.0,4.587,0.788
2,12.611904345,5.1497,6105.6,7.4,753.0,76.15,277.2,5795.0,4.508,0.919
0,1.433769925,1.8868,1976.3,46.58,1920.0,3209.29,112.6,6017.0,4.22,1.339
0,10.31872301,3.836,871.7,28.59,876.0,139.26,38.2,5927.0,4.409,1.06
2,2.539183147,2.4282,382.1,2.06,1332.0,743.09,38.9,5519.0,4.35,1.062
2,6.770300385,2.0844,1304.0,2.77,812.0,102.87,50.8,5653.0,4.656,0.679
0,0.444291966,2.0792,10967.0,27.51,1836.0,2706.26,299.7,5255.0,4.678,0.636
1,10.181584004,3.5089,5741.1,7.73,812.0,102.91,183.6,5988.0,4.541,0.836
2,20.06036336,3.3203,1494.7,1.96,361.0,4.0,35.2,3950.0,4.754,0.493
2,46.1842039,4.758,1394.7,1.83,273.0,1.32,26.0,3950.0,4.754,0.493
2,23.9800854,5.351,104.0,1.31,649.0,41.94,17.1,5854.0,4.406,1.012
2,7.82502168,2.186,520.8,1.2,494.0,14.05,15.9,3950.0,4.754,0.493
2,3.895936525,2.3111,8544.8,7.34,1005.0,241.62,370.8,5557.0,4.592,0.774
2,22.36646466,5.228,986.8,2.32,536.0,19.45,32.1,5395.0,4.615,0.734
2,1.625522174,2.38963,7969.0,9.73,1579.0,1467.41,799.7,5539.0,4.322,1.106
1,19.620346923,2.0038,21725.0,13.6,643.0,40.39,340.5,5710.0,4.492,0.905
0,7.544039,6.222,322.6,17.47,838.0,116.46,14.2,5657.0,4.567,0.824
2,9.02930689,3.1449,1019.8,2.57,757.0,77.75,53.9,5349.0,4.526,0.82
0,10.328035714,7.7915,16918.0,13.28,843.0,119.31,636.8,5627.0,4.359,1.024
2,143.2063047,8.9302,10566.0,8.9,308.0,2.14,138.8,5485.0,4.556,0.867
2,6.164876,3.262,55.8,0.79,1021.0,256.35,14.4,5854.0,4.406,1.012
2,60.32494216,6.6188,20280.0,12.19,411.0,6.77,347.2,5485.0,4.556,0.867
2,29.1598615,4.803,488.0,1.91,524.0,17.85,11.6,5485.0,4.556,0.867
0,1.540397253,2.1541,816.1,25.69,1470.0,1105.68,38.8,5663.0,4.53,0.915
0,2.99025443,5.414,589.2,1.7,918.0,168.45,48.5,4667.0,4.578,0.731
2,1.594745374,1.9604,15044.0,11.3,1539.0,1329.42,1009.3,5934.0,4.491,0.893
2,4.783002698,2.335,1008.7,2.5,886.0,145.48,70.6,5170.0,4.574,0.807
2,20.50588921,4.0595,2105.5,3.41,518.0,17.06,78.5,4905.0,4.544,0.761
2,3.340218842,1.9104,1632.6,2.03,656.0,43.73,71.6,3950.0,4.754,0.493
0,2.507089906,2.0067,1339.2,30.26,1326.0,730.47,64.9,5926.0,4.506,0.939
2,18.64932728,4.4056,893.6,3.12,701.0,57.13,46.1,5775.0,4.405,1.053
2,4.90144976,4.1654,140.7,1.7,1262.0,598.74,50.6,5847.0,4.191,1.402
2,9.75192101,4.793,418.0,2.76,870.0,135.66,28.5,5775.0,4.405,1.053
2,38.5576546,5.794,993.0,4.02,550.0,21.71,39.7,5775.0,4.405,1.053
2,3.525632539,2.59959,22335.0,11.58,975.0,213.12,1996.7,5150.0,4.572,0.793
1,34.84398644,2.9315,4523.6,7.61,511.0,16.1,76.8,5509.0,4.482,0.871
2,7.748094239,3.5957,2472.1,5.52,964.0,204.39,113.2,5973.0,4.439,1.085
2,23.96793669,3.827,1182.3,1.8,329.0,2.77,27.5,3747.0,4.728,0.524
2,8.29561738,1.3421,824.3,1.82,469.0,11.39,17.9,3747.0,4.728,0.524
2,8.11437482,2.2736,1558.0,2.1,460.0,10.55,56.4,3692.0,4.753,0.517
0,38.036729482,4.34617,82872.0,27.5,500.0,14.81,1300.0,5575.0,4.521,0.932
1,4.64090031,35.512,2450.6,30.09,1155.0,421.08,296.9,6463.0,4.5,0.826
0,3.747838198,5.0642,616.0,13.65,1031.0,266.76,138.2,5514.0,4.569,0.826
2,14.74914825,6.0995,430.2,2.89,874.0,137.91,107.4,5847.0,4.191,1.402
2,21.81295996,4.3791,1175.4,3.38,639.0,39.33,37.8,5601.0,4.41,0.999
0,7.91936937,3.3148,15148.0,10.34,814.0,104.0,389.0,5690.0,4.588,0.776
1,1.028436523,1.8606,8098.0,72.77,1947.0,3400.48,89.6,6228.0,4.428,0.99
2,15.37562369,3.3169,15337.0,11.01,600.0,30.54,166.0,4986.0,4.496,0.833
2,8.10363271,3.161,887.9,2.11,687.0,52.82,39.3,4861.0,4.574,0.732
2,4.71510843,2.506,417.5,1.46,823.0,108.84,21.3,4861.0,4.574,0.732
2,6.365839713,2.9721,780.7,2.44,914.0,165.33,70.8,5776.0,4.554,0.849
0,5.97581754,3.065,962.4,3.86,1047.0,284.25,50.3,6108.0,4.471,0.997
0,2.446737317,4.7211,1177.9,26.25,1261.0,597.19,110.2,5764.0,4.548,0.863
2,3.04033046,1.8411,10859.0,8.99,1021.0,257.29,568.2,5035.0,4.519,0.791
2,15.33528675,3.897,3081.4,5.0,610.0,32.67,86.6,5251.0,4.581,0.817
2,7.95825328,4.377,50.0,1.06,1074.0,314.15,14.7,5847.0,4.191,1.402
2,31.33046135,5.176,5073.8,6.5,481.0,12.61,117.2,5251.0,4.581,0.817
0,3.9043425,3.831,16228.0,12.28,1104.0,351.05,323.4,5810.0,4.526,0.898
0,9.286358079,3.49949,44791.0,17.61,796.0,95.03,1671.1,5670.0,4.523,0.821
0,3.951405455,2.1862,2453.9,31.44,1133.0,388.71,117.2,6046.0,4.539,0.869
2,23.65369415,8.2183,3341.8,7.89,731.0,67.65,266.3,5739.0,4.191,1.384
2,13.23352214,6.7372,504.6,3.06,888.0,146.67,49.1,5739.0,4.191,1.384
2,6.15560285,4.9843,285.0,2.32,1146.0,406.94,35.1,5739.0,4.191,1.384
2,2.090811305,3.388,115.9,1.62,1642.0,1718.04,19.9,5739.0,4.191,1.384
2,3.180027898,3.5797,120.3,1.53,1458.0,1066.86,50.4,5847.0,4.191,1.402
2,50.4467417,7.159,370.3,2.67,568.0,24.64,19.4,5739.0,4.191,1.384
2,11.76307164,2.9076,1037.3,2.35,616.0,33.99,48.9,4959.0,4.603,0.756
2,56.2279271,3.57,862.7,2.37,366.0,4.22,20.9,4959.0,4.603,0.756
0,2.384052875,3.0918,1268.1,17.06,1010.0,244.87,50.5,4794.0,4.58,0.701
2,7.953547,2.6312,875.4,2.25,696.0,55.37,38.4,4768.0,4.536,0.779
2,4.14451656,2.3421,391.8,1.48,864.0,132.08,22.8,4768.0,4.536,0.779
0,4.859386384,2.2757,6044.3,38.33,1114.0,364.23,269.7,6072.0,4.47,0.988
2,10.526294577,2.5211,9768.0,8.24,713.0,61.16,482.3,5386.0,4.553,0.793
2,4.583520948,2.7055,3812.1,5.39,1038.0,274.98,99.5,5815.0,4.54,0.877
2,3.76181843,3.5176,510.6,2.66,1121.0,372.62,35.9,5653.0,4.472,0.949
2,8.20396958,2.9667,1024.4,3.01,742.0,71.5,54.4,5015.0,4.499,0.826
2,14.49645186,4.016,647.5,3.01,613.0,33.48,25.7,5015.0,4.499,0.826
2,6.54626149,2.75,655.9,2.19,810.0,101.78,24.8,5251.0,4.581,0.817
2,12.71809866,3.0957,1149.4,2.31,562.0,23.6,52.7,4702.0,4.592,0.686
2,36.06588163,4.3246,1563.8,2.64,397.0,5.88,51.7,4702.0,4.592,0.686
2,4.190425659,2.8589,2877.4,6.21,1234.0,547.9,240.6,6073.0,4.392,1.135
2,3.709870784,3.0694,2020.3,4.35,1151.0,415.1,116.1,5727.0,4.463,0.978
2,16.3297527,6.271,1187.5,3.75,727.0,66.08,74.6,5878.0,4.444,0.987
2,27.807566216,4.21587,25391.0,13.84,554.0,22.24,748.1,5862.0,4.584,0.785
2,80.8723469,11.195,3604.6,7.59,452.0,9.88,160.9,5510.0,4.222,1.238
0,3.166465862,2.9381,4357.2,26.82,954.0,196.31,122.1,4968.0,4.575,0.704
2,24.99324319,5.9409,269.6,2.29,712.0,60.88,62.0,5718.0,4.181,1.317
2,10.35533116,3.1775,750.6,2.47,777.0,86.22,49.2,5501.0,4.462,0.918
2,16.08518937,3.984,1442.4,3.68,613.0,33.43,62.6,5239.0,4.523,0.826
1,235.9986399,8.2284,20715.0,10.59,188.0,0.29,271.8,4245.0,4.627,0.657
2,7.49018305,2.7297,1123.6,2.56,753.0,76.06,53.0,5103.0,4.562,0.787
2,36.2761238,4.7865,1572.6,3.03,445.0,9.29,45.5,5103.0,4.562,0.787
2,17.46087931,2.2641,812.4,2.32,568.0,24.6,22.6,5103.0,4.562,0.787
2,56.0560754,4.685,1626.0,1.94,233.0,0.69,27.4,3593.0,4.757,0.491
2,41.408316686,5.0264,22839.0,11.38,453.0,9.93,907.8,5522.0,4.586,0.747
1,39.74893077,7.3051,15179.0,14.21,552.0,21.87,561.1,6122.0,4.487,0.964
2,5.715425977,2.5242,908.1,2.47,850.0,123.03,59.4,5237.0,4.572,0.826
2,49.18394185,11.3364,1646.2,8.2,669.0,47.4,355.7,5626.0,3.907,2.057
2,20.0261412,1.611,421.2,2.28,559.0,23.14,10.7,5237.0,4.572,0.826
1,13.61014819,2.594,5732.9,19.02,733.0,68.29,184.1,5697.0,4.46,0.903
0,10.44331991,2.743,1159.8,2.66,667.0,46.94,51.7,4947.0,4.516,0.802
2,2.237489571,1.8119,315.8,1.41,1160.0,427.17,30.7,5265.0,4.58,0.81
0,5.851520671,3.11058,33004.0,14.62,901.0,155.89,1630.4,5532.0,4.53,0.806
2,3.167893418,2.1814,781.2,2.62,1221.0,526.23,64.8,5895.0,4.503,0.94
2,4.311780262,2.7251,1154.0,3.11,1038.0,274.84,86.1,5527.0,4.484,0.927
2,20.0504494,4.556,840.9,2.69,622.0,35.44,37.8,5527.0,4.484,0.927
2,9.76734503,1.6585,569.1,2.67,791.0,92.46,21.1,5527.0,4.484,0.927
1,119.0207044,8.1405,7430.5,8.98,366.0,4.25,223.5,5453.0,4.342,1.062
2,190.3200468,15.284,1141.7,7.78,426.0,7.8,139.3,5626.0,3.907,2.057
0,2.861159894,1.8832,1014.3,4.37,1355.0,797.1,58.3,6126.0,4.458,1.021
2,26.44439337,3.9783,1843.5,3.91,562.0,23.54,88.0,5427.0,4.463,0.929
2,51.53997972,6.3994,3644.3,5.51,450.0,9.67,155.5,5427.0,4.463,0.929
2,5.902245782,2.9003,702.3,2.43,926.0,173.74,59.3,5427.0,4.463,0.929
2,2.382951591,1.8876,391.6,1.86,1253.0,583.01,41.4,5427.0,4.463,0.929
2,21.02250608,4.1072,1772.5,3.07,521.0,17.48,62.4,5067.0,4.585,0.75
2,3.219814777,2.0642,488.2,1.69,998.0,234.93,30.5,5103.0,4.562,0.787
2,5.912273234,2.3254,961.4,1.73,585.0,27.72,62.8,4072.0,4.696,0.57
2,8.98581901,2.8606,881.3,1.65,509.0,15.9,51.8,4072.0,4.696,0.57
1,12.940668656,2.4845,42450.0,22.94,723.0,64.64,307.5,5875.0,4.572,0.809
0,20.5452375,2.517,218.5,2.41,742.0,71.57,18.5,5670.0,4.206,1.264
2,33.60123371,4.4056,7425.9,8.46,495.0,14.22,247.9,5149.0,4.447,0.93
2,6.76652928,2.9004,450.7,1.97,845.0,120.48,29.2,5149.0,4.447,0.93
2,4.347288783,2.1024,451.6,2.36,1174.0,449.79,39.7,5754.0,4.345,1.122
2,4.601811819,2.2607,755.9,2.35,896.0,152.91,60.8,4986.0,4.496,0.833
2,11.18719905,3.252,353.6,1.55,667.0,46.65,21.9,4986.0,4.496,0.833
2,4.220965778,3.0854,2260.0,2.62,595.0,29.68,157.8,3837.0,4.747,0.517
0,6.998099523,2.0488,20285.0,588.66,853.0,125.22,192.3,5612.0,4.566,0.829
2,5.95489993,2.3892,1410.7,2.33,635.0,38.52,87.2,4261.0,4.641,0.633
2,12.03987488,2.7363,1250.6,2.18,502.0,15.06,57.6,4261.0,4.641,0.633
2,20.83762895,2.3734,439.0,1.42,418.0,7.24,14.9,4261.0,4.641,0.633
0,8.8111022,5.0683,401.1,63.66,1399.0,904.92,76.8,6200.0,3.8,2.404
2,23.58917143,5.073,1200.7,3.16,487.0,13.34,53.3,4919.0,4.566,0.721
2,6.481633073,3.784,298.5,2.54,1145.0,406.25,125.6,5945.0,4.213,1.302
2,10.37168928,3.035,1254.9,3.2,720.0,63.68,64.5,5121.0,4.457,0.888
2,3.96996298,1.1757,299.2,1.78,992.0,229.37,15.0,5121.0,4.457,0.888
2,4.40841331,5.012,549.4,2.66,1139.0,398.0,45.1,6007.0,4.457,0.961
0,7.9426176,6.703,1590.7,4.68,878.0,140.57,60.4,5811.0,4.521,0.926
2,226.8904775,7.558,3136.4,4.53,236.0,0.73,46.8,5067.0,4.585,0.75
0,1.956811408,2.1958,24905.0,21.58,1109.0,357.16,125.4,5209.0,4.657,0.603
1,2.688899233,2.11275,37492.0,12.04,929.0,175.76,1011.6,4820.0,4.667,0.639
2,9.439459486,2.8979,3036.1,4.16,686.0,52.32,175.2,5097.0,4.597,0.779
2,11.523067458,3.8757,507.3,3.13,927.0,174.81,142.0,5644.0,4.162,1.411
2,20.47748843,2.8364,1382.4,2.92,530.0,18.65,52.7,5097.0,4.597,0.779
2,3.336123113,1.9616,516.3,1.74,970.0,209.79,41.6,5097.0,4.597,0.779
2,8.01078456,2.312,1333.6,1.72,453.0,9.9,48.5,3713.0,4.779,0.47
2,12.07134205,4.3224,759.2,1.29,395.0,5.74,31.0,3713.0,4.779,0.47
2,20.99587872,2.6333,767.3,1.3,328.0,2.74,18.2,3713.0,4.779,0.47
2,7.41113177,2.5242,620.5,2.45,905.0,158.11,50.4,5849.0,4.517,0.919
0,1.000747038,0.9967,1823.5,4.14,1620.0,1635.2,147.4,5472.0,4.499,0.79
2,8.884922995,2.07004,16053.0,10.51,770.0,83.21,388.2,5332.0,4.5,0.843
2,8.09888906,4.20241,6911.1,8.95,986.0,223.19,435.9,6214.0,4.442,1.076
2,10.00653012,5.344,936.1,3.52,876.0,139.21,71.9,6063.0,4.47,1.001
2,17.855221681,7.41287,9065.2,13.16,911.0,163.04,915.7,6823.0,4.308,1.367
1,12.732624065,2.2083,6465.7,4.87,432.0,8.22,210.5,3950.0,4.721,0.541
1,83.92494032,6.7904,7958.7,4.78,226.0,0.62,182.1,3960.0,4.746,0.509
2,5.007316661,4.2362,6932.3,6.96,998.0,234.28,431.4,5865.0,4.563,0.827
2,2.211116989,1.6485,724.2,1.85,931.0,177.19,42.6,4500.0,4.656,0.646
2,27.9541337,3.95,942.5,1.9,400.0,6.04,25.4,4500.0,4.656,0.646
2,12.69104387,3.7727,252.1,2.57,1008.0,244.3,60.2,5869.0,4.024,1.626
0,4.409409243,3.8636,12861.0,10.95,1101.0,347.06,85.8,5600.0,4.368,0.975
2,16.23947096,4.0374,2590.7,4.14,598.0,30.14,123.8,5191.0,4.564,0.837
2,6.308201629,2.9785,1328.5,2.96,819.0,106.44,86.2,5191.0,4.564,0.837
2,2.052349884,2.0778,14281.0,13.12,1497.0,1183.18,1072.1,5855.0,4.393,1.08
2,9.7704486,2.4517,1897.8,2.23,460.0,10.59,58.0,3906.0,4.73,0.509
2,5.169804269,2.153,1037.4,1.66,569.0,24.75,41.4,3906.0,4.73,0.509
2,21.22261195,6.5093,366.0,2.48,771.0,83.56,114.9,5945.0,4.213,1.302
2,20.09017037,4.154,1432.1,2.25,362.0,4.05,36.9,3906.0,4.73,0.509
2,7.11373257,2.1764,807.6,1.16,429.0,8.01,44.4,3561.0,4.855,0.411
2,3.306551643,1.8177,509.2,0.91,554.0,22.19,37.8,3561.0,4.855,0.411
2,15.36845737,2.4714,756.1,1.11,332.0,2.86,30.9,3561.0,4.855,0.411
2,13.81020318,3.048,1309.7,4.56,833.0,113.75,46.2,5942.0,4.327,1.142
2,4.093578461,2.5833,538.6,2.85,1182.0,461.07,36.4,6077.0,4.471,0.999
2,105.145959,8.593,685.4,3.43,401.0,6.09,15.4,6077.0,4.471,0.999
2,10.8484518,2.9993,1675.6,2.34,499.0,14.66,64.5,4201.0,4.682,0.591
2,6.66833241,1.915,362.3,1.18,587.0,28.06,14.2,4201.0,4.682,0.591
2,4.082274889,3.23015,17859.0,10.55,1016.0,251.48,1669.1,5655.0,4.581,0.794
1,3.886655224,3.1646,581.6,1.87,1010.0,246.29,48.1,5662.0,4.61,0.738
2,42.1406089,5.083,895.5,1.85,349.0,3.49,21.6,4500.0,4.656,0.646
2,4.617490562,2.2618,575.8,1.62,728.0,66.47,28.1,4500.0,4.656,0.646
2,10.19849255,2.4283,634.1,1.75,559.0,23.11,21.4,4500.0,4.656,0.646
0,5.795063956,3.2496,1692.9,4.33,950.0,192.74,119.4,5865.0,4.563,0.827
2,7.15681552,2.5882,867.0,2.47,782.0,88.23,47.7,5029.0,4.494,0.838
2,17.64830851,2.0873,763.3,2.43,579.0,26.49,23.8,5029.0,4.494,0.838
2,4.14810719,2.535,175.2,1.08,938.0,182.76,12.9,5029.0,4.494,0.838
2,16.51410989,4.1575,973.5,2.72,655.0,43.57,55.9,5527.0,4.488,0.866
2,30.1329298,5.172,1015.8,3.14,536.0,19.55,44.8,5527.0,4.488,0.866
2,4.79090809,2.603,251.3,1.36,990.0,227.24,21.2,5527.0,4.488,0.866
2,31.71981013,4.819,363.4,3.09,743.0,71.97,63.1,5869.0,4.024,1.626
2,99.6415962,4.448,952.5,2.64,360.0,3.97,22.7,5527.0,4.488,0.866
2,4.708326451,3.16114,7912.7,10.6,1162.0,431.02,633.4,5560.0,4.246,1.21
0,16.37198661,3.8449,4147.6,540.37,438.0,8.71,54.5,4187.0,4.656,0.592
2,5.392026903,2.9804,1151.4,2.68,850.0,123.33,77.4,5198.0,4.589,0.801
1,2.494170338,1.1221,863.7,2.42,1194.0,480.19,69.2,5569.0,4.566,0.829
2,6.491682808,4.301,7163.3,9.66,1062.0,301.54,502.3,6123.0,4.413,1.107
0,3.044770796,10.0134,1695.0,24.54,1076.0,317.36,203.5,5525.0,4.603,0.753
2,3.855603916,3.2179,16653.0,13.61,1212.0,508.65,1173.9,6033.0,4.46,1.046
0,3.855599139,3.183,1030.9,3.57,1158.0,425.74,90.1,5936.0,4.501,0.965
2,38.47876629,5.04169,23530.0,13.26,484.0,13.01,1077.8,5510.0,4.539,0.879
0,37.601661282,8.30604,59130.0,27.22,606.0,31.86,1667.3,6140.0,4.354,1.096
2,3.314947362,1.8007,1398.2,3.94,1155.0,421.03,123.5,5609.0,4.481,0.944
0,6.71969089,3.0231,969.7,4.37,952.0,194.18,45.4,5931.0,4.479,0.866
2,39.6431552,6.5292,15664.0,10.98,472.0,11.74,690.3,5231.0,4.455,0.9
0,51.42598578,16.9422,66068.0,29.66,549.0,21.4,1843.8,6257.0,4.41,1.147
2,21.80451611,3.4097,1144.9,2.6,543.0,20.48,49.9,5481.0,4.629,0.708
2,10.28194593,3.4366,1110.7,2.53,680.0,50.6,55.0,5196.0,4.593,0.775
2,18.11993039,4.2309,1506.9,2.95,563.0,23.77,60.7,5196.0,4.593,0.775
2,3.78402867,1.9012,426.1,1.7,949.0,191.78,25.6,5196.0,4.593,0.775
2,5.15448142,3.228,697.5,2.94,964.0,204.1,48.1,5431.0,4.457,0.884
0,33.80364366,11.4813,13494.0,20.7,745.0,72.71,529.9,5855.0,3.999,1.796
2,5.743469797,3.4412,1240.2,3.13,982.0,219.95,79.7,5897.0,4.531,0.891
1,39.4759093,2.968,1012.6,4.06,577.0,26.13,26.6,6225.0,4.45,1.031
0,19.974485239,4.23479,40293.0,26.56,700.0,56.84,1398.8,6108.0,4.471,0.997
2,3.166353562,3.3129,1473.4,3.82,1273.0,621.92,128.3,6007.0,4.47,0.998
0,23.899634407,3.81881,20953.0,44.04,652.0,42.8,547.8,6192.0,4.503,0.924
2,3.388012244,2.6849,280.1,2.11,1315.0,705.93,30.6,5553.0,4.221,1.25
2,5.83909761,3.1915,273.6,2.06,1097.0,341.48,25.2,5553.0,4.221,1.25
2,1.620467654,2.1888,159.6,1.57,1681.0,1893.42,22.7,5553.0,4.221,1.25
2,10.6816951,3.605,307.8,2.3,897.0,152.75,21.9,5553.0,4.221,1.25
2,6.104849417,4.6912,2090.3,3.18,784.0,89.25,293.7,5085.0,4.584,0.712
2,3.578780566,2.91089,11382.0,10.43,1145.0,406.6,1838.4,5524.0,4.421,0.994
